Security Id,Security Name
BOMOXY-B1,Bombay Oxygen Investments Ltd
BOMTALKIES,Bombay Talkies Ltd
BOMBWIR,BOMBAY WIRE ROPES LTD.
BONDADA,Bondada Engineering Ltd
BONLON,Bonlon Industries Ltd
BOROLTD,Borosil Ltd
BORORENEW,Borosil Renewables Ltd
BOSCHLTD,BOSCH LTD.
BMAL,BOTHRA METALS & ALLOYS LTD.
BPL,BPL LTD.
BRADYM,BRADY & MORRIS ENGINEERING CO.LTD.
BRAHMINFRA,BRAHMAPUTRA INFRASTRUCTURE LTD.
BCONCEPTS,Brand Concepts Ltd
BRANDBUCKT,Brandbucket Media & Technology Ltd
BRAWN,BRAWN BIOTECH LTD.
BRIDGESE,BRIDGE SECURITIES LTD.
BRIGADE,BRIGADE ENTERPRISES LTD.
BRIGHTBR,BRIGHT BROTHERS LTD.-$
BRIGHT,Bright Outdoor Media Ltd
BCG,Brightcom Group Ltd
BRIJLEAS,BRIJLAXMI LEASING & FINANCE LTD.
BRIPORT,Brilliant Portfolios Ltd
BRITANNIA,BRITANNIA INDUSTRIES LTD.
BITL,BRONZE INFRA-TECH LTD.
BROOKS,BROOKS LABORATORIES LTD.
BSELINFRA,BSEL INFRASTRUCTURE REALTY LTD.
BSL,BSL LTD.
BURNPUR,BURNPUR CEMENT LTD.
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd
MAPMYINDIA,C.E. Info Systems Ltd
CJGEL,C.J.GELATINE PRODUCTS LTD.
CALCOM,CALCOM VISION LTD.
CALSOFT,CALIFORNIA SOFTWARE CO.LTD.
CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.
CAMEXLTD,CAMEX LTD.
CAMLINFINE,CAMLIN FINE SCIENCES LTD.
CAMPUS,Campus Activewear Ltd
CANFINHOME,CAN FIN HOMES LTD.
CANBK,CANARA BANK
CANDOUR,Candour Techtex Ltd
CANOPYFIN,Canopy Finance Ltd
CANTABIL,CANTABIL RETAIL INDIA LTD.
CAPACITE,Capacite Infraprojects Ltd
CAPFIN,Capfin India Ltd
CIFL,Capital India Finance Ltd
CTL,Capital Trade Links Ltd
CAPITALT,CAPITAL TRUST LTD.
CAPPL,CAPLIN POINT LABORATORIES LTD.
CGCL,Capri Global Capital Limited
CAPRICORN,CAPRICORN SYSTEMS GLOBAL SOLUTIONS LTD.
CAPRIHANS,CAPRIHANS INDIA LTD.-$
CAPRO,CAPROLACTAM CHEMICALS LTD.
CAPPIPES,Captain Pipes Ltd
CPL,Captain Polyplast Ltd
CTCL,Captain Technocast Ltd
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.
CARERATING,CARE Ratings Ltd
CAREERP,CAREER POINT LTD.
CARGOSOL,Cargosol Logistics Ltd
CARGOTRANS,Cargotrans Maritime Ltd
CARNATIN,CARNATION INDUSTRIES LTD.
CARTRADE,CarTrade Tech Ltd
CARYSIL,Carysil Ltd
CASPIAN,Caspian Corporate Services Ltd
CASTROLIND,CASTROL INDIA LTD.
CATVISION,Catvision Limited
CCLINTER,CCL INTERNATIONAL LTD.
CCL,CCL PRODUCTS (INDIA) LTD.
CDG,CDG Petchem Ltd
CEATLTD,CEAT LTD.
CEEJAY,CEEJAY FINANCE LTD.
CEENIK,CEENIK EXPORTS (INDIA) LTD.
CEETAIN,CEETA INDUSTRIES LTD.
CEINSYSTECH,Ceinsys Tech Ltd
CELEBRITY,CELEBRITY FASHIONS LTD.
CELLA,Cella Space Ltd
CELLO,Cello World Ltd
CENLUB,CENLUB INDUSTRIES LTD.
CSURGSU,CENTENIAL SURGICAL SUTURE LTD.
CENTRALBK,CENTRAL BANK OF INDIA
CENTRUM,CENTRUM CAPITAL LTD.
CENTUM,CENTUM ELECTRONICS LTD.
CENTENKA,CENTURY ENKA LTD.
CENTEXT,CENTURY EXTRUSIONS LTD.
CENTURYPLY,CENTURY PLYBOARDS (I) LTD.-$
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.
CERA,CERA SANITARYWARE LTD.
CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIES LTD.
CESL,CES Limited
CESC,CESC LTD.
CFF,CFF Fluid Control Ltd
CGPOWER,CG Power and Industrial Solutions Ltd
CGVAK,CG-VAK SOFTWARE & EXPORTS LTD.
CHADPAP,CHADHA PAPERS LTD.
CHALET,Chalet Hotels Ltd
CHAMANSEQ,CHAMAN LAL SETIA EXPORTS LTD.-$
CHMBBRW,CHAMBAL BREWERIES & DISTILLERIES LTD.
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.
CHANDNIMACH,Chandni Machines Ltd
CBPL,Chandra Bhagat Pharma Ltd
CHANDRAP,CHANDRA PRABHU INTERNATIONAL LTD.-$
CHANDRIMA,Chandrima Mercantiles Ltd
CNEL,CHANNEL NINE ENTERTAINMENT LTD.
CHARMS,CHARMS INDUSTRIES LTD.
CHRTEDCA,CHARTERED CAPITAL & INVESTMENT LTD.
CHLOGIST,CHARTERED LOGISTICS LTD.
CHDCHEM,CHD Chemicals Ltd
CHECKPOINT,Checkpoint Trends Ltd
CHEMBOND,CHEMBOND CHEMICALS LTD.-$
CHEMCON,Chemcon Speciality Chemicals Ltd
CHEMCRUX,Chemcrux Enterprises Ltd
CHEMFABALKA,Chemfab Alkalis Ltd
CHEMIESYNT,Chemiesynth (Vapi) Ltd
CHEMOPH,CHEMO PHARMA LABORATORIES LTD.
CHEMPLASTS,Chemplast Sanmar Ltd
CHEMTECH,Chemtech Industrial Valves Ltd
CHENFERRO,Chennai Ferrous Industries Ltd
CMMHOSP,CHENNAI MEENAKSHI MULTISPECIALITY HOSPITAL LTD.-$
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.
CHEVIOT,CHEVIOT CO.LTD.-$
CHITRTX,CHITRADURGA SPINTEX LTD.
CHLLTD,CHL LTD.
CHOICEIN,CHOICE INTERNATIONAL LTD.
CHOKSI,CHOKSI IMAGING LTD.
CHOKSILA,CHOKSI LABORATORIES LTD.
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd
CHORDIA,CHORDIA FOOD PRODUCTS LTD.
CHOTHANI,Chothani Foods Ltd
CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.
CIANAGRO,CIAN Agro Industries & Infrastructure Ltd
CHCL,Cian Healthcare Ltd
CIEINDIA,CIE Automotive India Ltd
CIGNITI,CIGNITI TECHNOLOGIES LTD.
CNOVAPETRO,CIL NOVA PETROCHEMICALS LTD.
CILSEC,CIL SECURITIES LTD.
CINDRELL,CINDRELLA FINANCIAL SERVICES LTD.
CINDHO,CINDRELLA HOTELS LTD.-$
CINELINE,Cineline India Limited
CINERAD,CINERAD COMMUNICATIONS LTD.
CINEVISTA,CINEVISTA LTD.
CIPLA,CIPLA LTD.
CISTRO,CISTRO TELELINK LTD.
CITADEL,CITADEL REALTY AND DEVELOPERS LTD.
CITIPOR,CITIPORT FINANCIAL SERVICES LTD.
CIL,Citizen Infoline Ltd
CCAL,City Crops Agro Ltd
CITYONLINE,City Online Services Ltd
CPML,City Pulse Multiplex Ltd
CUB,CITY UNION BANK LTD.
CITYMAN,CITYMAN LTD.
CITYON,Cityon Systems (India) Ltd
CLEDUCATE,CL Educate Ltd
CLEDUCATE7,CL Educate Ltd
CLARA,Clara Industries Ltd
CLASELE,CLASSIC ELECTRICALS LTD.
CFL,Classic Filaments Ltd
CCFCL,Classic Global Finance & Capital Ltd
CLFL,Classic Leasing & Finance Ltd
CLEAN,Clean Science and Technology Ltd
CLIOINFO,CLIO INFOTECH LTD.
CMI,CMI LTD.
CMSINFO,CMS Info Systems Ltd
CNIRESLTD,CNI RESEARCH LTD.
COALINDIA,COAL INDIA LTD.
COASTCORP,COASTAL CORPORATION LTD.
COARO,COASTAL ROADWAYS LTD.
COCHMAL,COCHIN MALABAR ESTATES & INDUSTRIES LTD.
COCHINM,COCHIN MINERALS & RUTILE LTD.-$
COCHINSHIP,Cochin Shipyard Ltd
COFFEEDAY,Coffee Day Enterprises Ltd
COFORGE,Coforge Ltd
COLABCLOUD,Colab Cloud Platforms Ltd
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.
COLINZ,COLINZ LABORATORIES LTD.
COLORCHIPS,Colorchips New Media Ltd
COMCL,COMFORT COMMOTRADE LTD.
COMFINCAP,COMFORT FINCAP LTD.
COMFINTE,COMFORT INTECH LTD.-$
COMMAND,Command Polymers Ltd
COMSYN,Commercial Syn Bags Ltd
COMPEAU,COMPETENT AUTOMOBILES CO.LTD.
COMPUAGE,COMPUAGE INFOCOM LTD.
COMPUSOFT,COMPUCOM SOFTWARE LTD.-$
CAMS,Computer Age Management Services Ltd
COMPUPN,COMPUTER POINT LTD.
COMRADE,Comrade Appliances Ltd
CONART,CONART ENGINEERS LTD.-$
CONCORDBIO,Concord Biotech Ltd
CNCRD,Concord Control Systems Ltd
CONCORD,Concord Drugs Ltd
CONCRETE,Concrete Credit Ltd
CONFINT,Confidence Finance And Trading Limited
CFEL,Confidence Futuristic Energetech Ltd
CONFIPET,CONFIDENCE PETROLEUM INDIA LTD.
CITL,Consecutive Investment & Trading Company Ltd
CONSTRONIC,Constronics Infra Ltd
CONTAINE,Containe Technologies Ltd
CONCOR,CONTAINER CORPORATION OF INDIA LTD.
CONTAINER,Containerway International Ltd
CONTILI,CONTIL INDIA LTD.
CONTCHM,CONTINENTAL CHEMICALS LTD.
CONTICON,CONTINENTAL CONTROLS LTD.
CONTPTR,CONTINENTAL PETROLEUMS LTD.
CSL,Continental Securities Ltd
CONTROLPR,CONTROL PRINT LTD.-$
CORALFINAC,CORAL INDIA FINANCE & HOUSING LTD.
CORALAB,CORAL LABORATORIES LTD.
CORNE,CORAL NEWSPRINTS LTD.
CORDSCABLE,CORDS CABLE INDUSTRIES LTD.
CORAGRO,COROMANDEL AGRO PRODUCTS & OILS LTD.
COROENGG,COROMANDEL ENGINEERING COMPANY LTD.
COROMANDEL,COROMANDEL INTERNATIONAL LTD.
CORPOCO,CORPORATE COURIER AND CARGO LTD.
CMBL,Corporate Merchant Bankers Ltd
COSCO,COSCO (INDIA) LTD.-$
COSMICCRF,Cosmic CRF Ltd
COSMOFE,COSMO FERRITES LTD.-$
COSMOFIRST,Cosmo First Ltd
COSPOWER,Cospower Engineering Ltd
COSYN,COSYN Ltd
CCHHL,Country Club Hospitality & Holidays Ltd
COUNCODOS,COUNTRY CONDO'S LTD.
COVIDH,COVIDH TECHNOLOGIES LIMITED
CPSEETF,CPSE ETF
CRAFTSMAN,Craftsman Automation Ltd
CRANEINFRA,Crane Infrastructure Ltd
CRANESSOFT,CRANES SOFTWARE INTERNATIONAL LTD.
CRANEX,CRANEX LTD.
CRAVATEX,CRAVATEX LTD.
CREATIVE,Creative Castings Ltd
CREATIVEYE,CREATIVE EYE LTD.
CGFL,Credent Global Finance Ltd
CREDITACC,CreditAccess Grameen Ltd
CRESSAN,CRESSANDA SOLUTIONS LTD.
CREST,CREST VENTURES LIMITED
CRSTCHM,CRESTCHEM LTD.
CRIMSON,Crimson Metal Engineering Company Ltd
CRISIL,CRISIL LTD.
CROISSANCE,Croissance Ltd
CROMPTON,Crompton Greaves Consumer Electricals Ltd
CROPSTER,Cropster Agro Ltd
CSBBANK,CSB Bank Ltd
CSLFINANCE,CSL Finance Ltd
CUBEXTUB,CUBEX TUBINGS LTD.
CUBIFIN,CUBICAL FINANCIAL SERVICES LTD.
CUMMINSIND,CUMMINS INDIA LTD.
CUPID,CUPID LTD.-$
CYBELEIND,CYBELE INDUSTRIES LTD.
CYBERMEDIA,CYBER MEDIA (INDIA) LTD.
CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE LTD.
CYIENTDLM,Cyient DLM Ltd
CYIENT,Cyient Limited
DBCORP,D B Corp Ltd
DBREALTY,D B Realty Ltd
DLINKINDIA,D-Link (India) Ltd
DPWIRES,D.P. Wires Ltd
DHINDIA,D&H India Ltd-$
DABUR,DABUR INDIA LTD.
DAICHI,DAI-ICHI KARKARIA LTD.-$
DAIKAFFI,DAIKAFFIL CHEMICALS INDIA LTD.
DSINVEST,DALAL STREET INVESTMENTS LTD.
DALBHARAT,Dalmia Bharat Ltd
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd
DAMOINDUS,DAMODAR INDUSTRIES LTD.-$
DANLAW,DANLAW TECHNOLOGIES INDIA LTD.-$
DANUBE,Danube Industries Ltd
DAPS,DAPS Advertising Ltd
DARJEELING,Darjeeling Ropeway Company Ltd
DARSHANORNA,Darshan Orna Ltd
DATAPATTNS,Data Patterns (India) Ltd
DATAMATICS,DATAMATICS GLOBAL SERVICES LTD.
DATIWARE,Datiware Maritime Infra Ltd
DAULAT,DAULAT SECURITIES LTD.
DAVANGERE,Davangere Sugar Company Ltd
DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKERS LTD.
DCI,Dc Infotech and Communication Ltd
DCBBANK,DCB Bank Limited
DCMFINSERV,DCM FINANCIAL SERVICES LTD.
DCM,DCM LTD.
DCMNVL,DCM Nouvelle Ltd
DCMSRMIND,DCM SHRIRAM INDUSTRIES LTD.-$
DCMSHRIRAM,DCM Shriram Limited
DCW,DCW LTD.
DCXINDIA,DCX Systems Ltd
DDEVPLASTIK,Ddev Plastiks Industries Ltd
DENORA,DE NORA INDIA LTD.
DECANBRG,DECCAN BEARINGS LTD.
DECCANCE,DECCAN CEMENTS LTD.-$
DECNGOLD,DECCAN GOLD MINES LTD.
DECCAN,Deccan Health Care Ltd
DECPO,DECCAN POLYPACKS LTD.
DFL,Decillion Finance Ltd
DECIPHER,Decipher Labs Ltd
DECOMIC,DECO-MICA LTD.
DITCO,Decorous Investment & Trading Co Ltd
DDIL,Deep Diamond India Ltd
DEEPENR,Deep Energy Resources Ltd
DEEPIND,Deep Industries Ltd
DEEP,Deep Polymers Ltd
DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.
DEEPAKNI,DEEPAK NITRITE LTD.-$
DEEPAKSP,DEEPAK SPINNERS LTD.-$
DELHIVERY,Delhivery Ltd
DELPHIFX,Delphi World Money Ltd
DELTACORP,DELTA CORP LTD.
DELTA,Delta Industrial Resources Ltd
DELTAMAGNT,Delta Manufacturing Ltd
DLTNCBL,DELTON CABLES LTD.
DEN,Den Networks Ltd
DENISCHEM,Denis Chem Lab Ltd
DESHRAK,DESH RAKSHAK AUSHDHALAYA LTD.
DEVIT,Dev Information Technology Ltd
DEVLAB,Dev Labtech Venture Ltd
DEVINE,DEVINE IMPEX LTD.
DEVITRD,DEVINSU TRADING LTD.
DEVYANI,Devyani International Ltd
DHABRIYA,Dhabriya Polywood Ltd
DBOL,Dhampur Bio Organics Ltd
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.
DHAMPURE,DHAMPURE SPECIALITY SUGARS LTD.
DHANADACO,DHANADA CORPORATION LTD.
DHANROTO,DHANALAXMI ROTO SPINNERS LTD.
DEL,Dhanashree Electronics Ltd
DHANI,Dhani Services Ltd
DHANBANK,Dhanlaxmi Bank Limited
DHANCOT,DHANLAXMI COTEX LTD.
DHANFAB,DHANLAXMI FABRICS LTD.
DHANUKA,DHANUKA AGRITECH LTD.
ZDHJERK,DHANVANTRI JEEVAN REKHA LTD.
DHARFIN,DHARANI FINANCE LTD.
DHARMAJ,Dharmaj Crop Guard Ltd
DHARNI,Dharni Capital Services Ltd
DHATRE,Dhatre Udyog Ltd
DHENUBUILD,DHENU BUILDCON INFRA LTD.
DHOOTIN,DHOOT INDUSTRIAL FINANCE LTD.
DHPIND,DHP INDIA LTD.
DHRUV,Dhruv Consultancy Services Ltd
DWL,Dhruv Wellness Ltd
DHRUVCA,DHRUVA CAPITAL SERVICES LTD.
DHUNINV,DHUNSERI INVESTMENTS LTD.
DHUNTEAIND,Dhunseri Tea & Industries Ltd
DVL,Dhunseri Ventures Ltd-$
DHYAANI,Dhyaani Tile and Marblez Ltd
DIAMANT,Diamant Infrastructure Limited
DIAMINESQ,DIAMINES & CHEMICALS LTD.-$
DIACABS,Diamond Power Infrastructure Limited-$
DIANATEA,DIANA TEA CO.LTD.
DICIND,DIC INDIA LTD.
DML,Diggi Multitrade Ltd
DGCONTENT,Digicontent Ltd
DIGISPICE,Digispice Technologies Ltd-$
DIGJAMLTD,Digjam Ltd
DIKSAT,Diksat Transworld Ltd
DGL,Diksha Greens Ltd
DILIGENT,DILIGENT INDUSTRIES LTD.
DNAMEDIA,Diligent Media Corporation Ltd
DBL,Dilip Buildcon Ltd
DPL,Dipna Pharmachem Ltd
DISAQ,DISA INDIA LTD.
DISHTV,DISH TV INDIA LTD.
DRL,Disha Resources Ltd
DCAL,Dishman Carbogen Amcis Ltd
DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS Ltd
DIVISLAB,DIVI'S LABORATORIES LTD.
DIVSHKT,Divyashakti Ltd
DIXON,Dixon Technologies (India) Ltd
DJML,DJ Mediaprint & Logistics Ltd
DLF,DLF LTD.
DMCC,DMCC Speciality Chemicals Ltd
DMR,DMR Hydroengineering & Infrastructures Ltd
DODLA,Dodla Dairy Ltd
DOLATALGO,Dolat Algotech Ltd
DOLFIN,Dolfin Rubbers Ltd
DOLLAR,Dollar Industries Ltd
DOLPHMED,DOLPHIN MEDICAL SERVICES LTD.
DOLPHINOFF,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD.-$
DONEAR,DONEAR INDUSTRIES LTD.-$
DLCL,Dr Lalchandani Labs Ltd
LALPATHLAB,Dr. Lal PathLabs Ltd
DRAGARWQ,DR.AGARWALS EYE HOSPITAL LTD.-$
DRREDDY,DR.REDDY'S LABORATORIES LTD.
DRA,DRA Consultants Ltd
DRCSYSTEMS,DRC Systems India Ltd
DREAMFOLKS,Dreamfolks Services Ltd
DREDGECORP,DREDGING CORPORATION OF INDIA LTD.
DRONACHRYA,Droneacharya Aerial Innovations Ltd
KEEPLEARN,DSJ keep Learning Ltd
DSPNEWETF,DSP Nifty 50 Equal Weight ETF
DSPN50ETF,DSP Nifty 50 ETF
DSPBANKETF,DSP Nifty Bank ETF
DSPITETF,DSP Nifty IT ETF
DSPQ50ETF,DSP Nifty Midcap 150 Quality 50 ETF
DSPPSBKETF,DSP Nifty PSU Bank ETF
DSPPVBKETF,DSP Private Bank ETF
DSPSENXETF,DSP S&P BSE Sensex ETF
DUCON,Ducon Infratechnologies Ltd
DUKEOFS,DUKE OFFSHORE LTD.
DUNCANENG,Duncan Engineering Ltd-$
DUROPACK,DUROPACK LTD.
DUROPLY,Duroply Industries Ltd
DUTRON,DUTRON POLYMERS LTD.-$
DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.
DSSL,DYNACONS SYSTEMS & SOLUTIONS LTD.
DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$
DAL,Dynamic Archistructures Ltd
DYNAMIC,Dynamic Cables Ltd
DYNAMIND,DYNAMIC INDUSTRIES LTD.-$
DYNAMICP,DYNAMIC PORTFOLIO MANAGEMENT & SERVICES LTD.
DYNAVSN,DYNAVISION LTD.
DYNPRO,DYNEMIC PRODUCTS LTD.
ELAND,E-Land Apparel Limited
EIDPARRY,E.I.D.-PARRY (INDIA) LTD.
EARTH,Earthstahl & Alloys Ltd
EARUM,Earum Pharmaceuticals Ltd
EASTBUILD,EAST BUILDTECH LTD.
ECSTSTL,EAST COAST STEEL LTD.
EASTWEST,East West Holdings Ltd
ELIL,Eastern Logica Infoway Ltd
EASTSILK,EASTERN SILK INDUSTRIES LTD.
EASTRED,EASTERN TREADS LTD.
EASUN,Easun Capital Markets Ltd
EASYFIN,Easy Fincorp Ltd
EASEMYTRIP,Easy Trip Planners Ltd
ECLERX,ECLERX SERVICES LTD.
EFPL,ECO FRIENDLY FOOD PROCESSING PARK LTD.
ECOHOTELS,Eco Hotels And Resorts Ltd
ECORECO,ECO RECYCLING LTD.
ECOBOAR,ECOBOARD INDUSTRIES LTD.
ETIL,Econo Trade (India) Ltd
ECOPLAST,ECOPLAST LTD.-$
ECS,ECS Biztech Ltd
EDELWEISS,Edelweiss Financial Services Ltd.
EDUCOMP,EDUCOMP SOLUTIONS LTD.
EDVENSWA,Edvenswa Enterprises Ltd
EDSL,EDYNAMICS SOLUTIONS LTD.
EFCIL,EFC (I) Ltd
EICHERMOT,EICHER MOTORS LTD.
EIGHTY,Eighty Jewellers Ltd
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$
EIHOTEL,EIH LTD.
EIKO,Eiko Lifesciences Ltd
EIMCOELECO,EIMCO ELECON (INDIA) LTD.
EKAMLEA,EKAM LEASING & FINANCE CO.LTD.
EKANSH,Ekansh Concepts Ltd
EKENNIS,Ekennis Software Service Ltd
EKI,EKI Energy Services Ltd
ELFORGE,EL FORGE LTD.-$
ELANGO,ELANGO INDUSTRIES LTD.
ELANTAS,ELANTAS BECK INDIA LTD.-$
ELCIDIN,ELCID INVESTMENTS LTD.
ELDEHSG,ELDECO HOUSING & INDUSTRIES LTD.
ELECON,ELECON ENGINEERING CO.LTD.
EMIL,Electronics Mart India Ltd
ELECTCAST,ELECTROSTEEL CASTINGS LTD.
ELECTHERM,ELECTROTHERM (INDIA) LTD.
ELEFLOR,ELEGANT FLORICULTURE & AGROTECH (INDIA) LTD.
ELEMARB,ELEGANT MARBLES & GRANI INDUSTRIES LTD.
ELGIEQUIP,ELGI EQUIPMENTS LTD.
ELIN,Elin Electronics Ltd
ELITECON,Elitecon International Ltd
ELIXIR,Elixir Capital Ltd
ELNET,ELNET TECHNOLOGIES LTD.-$
ELPROINTL,ELPRO INTERNATIONAL LTD.
EMAINDIA,EMA INDIA LTD.
EMAMILTD,EMAMI LTD.-$
EMAMIPAP,EMAMI PAPER MILLS LTD.
EMAMIREAL,Emami Realty Ltd
EMERALD,Emerald Finance Ltd
EMERALL,Emerald Leisures Ltd
EMERGENT,Emergent Industrial Solutions Ltd
EMKAY,EMKAY GLOBAL FINANCIAL SERVICES LTD.
EMMBI,Emmbi Industries Ltd
EMMESSA,EMMESSAR BIOTECH & NUTRITION LTD.
EMPIND,EMPIRE INDUSTRIES LTD.
EMPOWER,EMPOWER INDIA LTD.
EMSLIMITED,EMS Ltd
EMUDHRA,eMudhra Ltd
ENBETRD,ENBEE TRADE & FINANCE LTD.
ENCASH,Encash Entertainment Ltd
ENCODE,Encode Packaging India Ltd
ENDURANCE,Endurance Technologies Ltd
ENERGYDEV,ENERGY DEVELOPMENT COMPANY LTD.
ENGINERSIN,ENGINEERS INDIA LTD.
ENKEIWHEL,ENKEI WHEELS (INDIA) LTD.
ENTRINT,ENTERPRISE INTERNATIONAL LTD.
ENIL,ENTERTAINMENT NETWORK (INDIA) LTD.
ENVAIREL,ENVAIR ELECTRODYNE LTD.
EPBIO,EP Biocomposites Ltd
EPIC,EPIC ENERGY LTD.-$
EPIGRAL,Epigral Ltd
EPL,EPL Ltd
EPSOMPRO,EPSOM PROPERTIES LTD.
EQUIPPP,Equippp Social Impact Technologies Ltd
EQUITASBNK,Equitas Small Finance Bank Ltd
ERIS,Eris Lifesciences Ltd
EROSMEDIA,EROS INTERNATIONAL MEDIA LTD.
ERPSOFT,ERP SOFT SYSTEMS LTD.
ESARIND,ESAAR (INDIA) LTD.
ESABINDIA,ESAB INDIA LTD.
ESAFSFB,ESAF Small Finance Bank Ltd
ESCORP,Escorp Asset Management Ltd
ESCORTS,Escorts Kubota Ltd
ESHAMEDIA,Esha Media Research Limited
ESPIRE,Espire Hospitality Limited
ESSARSEC,Essar Securities Ltd
ESSARSHPNG,ESSAR SHIPPING LTD.
ESTER,ESTER INDUSTRIES LTD.
ETHOSLTD,Ethos Ltd
ETT,ETT Ltd
EUREKAFORBE,Eureka Forbes Ltd
EUREKAI,EUREKA INDUSTRIES LTD.
EUROASIA,EURO ASIA EXPORTS LTD.
EUROLED,EURO LEDER FASHION LTD.
EUROTEXIND,EUROTEX INDUSTRIES & EXPORTS LTD.
EVANS,Evans Electric Ltd
EVEREADY,EVEREADY INDUSTRIES INDIA LTD.
EVERESTIND,EVEREST INDUSTRIES LTD.
EKC,EVEREST KANTO CYLINDER LTD.
EVERESTO,EVEREST ORGANICS LTD.
EVERTEX,Evergreen Textiles Limited
EVERFIN,Everlon Financials Ltd
EVEXIA,Evexia Lifecare Ltd
EVOQ,Evoq Remedies Ltd
EXCELINDUS,EXCEL INDUSTRIES LTD.
EXCEL,Excel Realty N Infra Ltd
EXHICON,Exhicon Events Media Solutions Ltd
EXIDEIND,EXIDE INDUSTRIES LTD.
EXPLEOSOL,Expleo Solutions Ltd
EXPLICITFIN,EXPLICIT FINANCE LTD.
EXPOGAS,EXPO GAS CONTAINERS LTD.
EXXARO,Exxaro Tiles Ltd
EY,Eyantra Ventures Ltd
FMEC,F Mec International Financial Services Ltd
FABINO,Fabino Life Sciences Ltd
FACORALL,FACOR ALLOYS LTD.
FAIRCHEMOR,Fairchem Organics Ltd
FAMILYCARE,Family Care Hospitals Ltd
FAZE3Q,FAZE THREE LTD.-$
FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.
FDC,FDC LTD.
FEDERALBNK,FEDERAL BANK LTD.
FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LTD.
FERMENTA,Fermenta Biotech Ltd
FACT,FERTILIZERS & CHEMICALS TRAVANCORE LTD.
FERVENTSYN,FERVENT SYNERGIES LTD.
FGP,FGP LTD.
FIBERWEB,FIBERWEB (INDIA) LTD.
FIEMIND,FIEM INDUSTRIES LTD.
FILATFASH,FILATEX FASHIONS LTD.
FILATEX,FILATEX INDIA LTD.-$
FILTRA,Filtra Consultants and Engineers Ltd
FINEORG,Fine Organic Industries Ltd
FINELINE,FINE-LINE CIRCUITS LTD.
FCL,FINEOTEX CHEMICAL LTD.
FINKURVE,Finkurve Financial Services Ltd
FINOPB,Fino Payments Bank Ltd
FINCABLES,FINOLEX CABLES LTD.
FINOLEXIND,FINOLEX INDUSTRIES LTD.
1STCUS,FIRST CUSTODIAN FUND (INDIA) LTD.
FIRSTFIN,First Fintec Ltd
FSL,FIRSTSOURCE SOLUTIONS LTD.
FISCHER,FISCHER CHEMIC LTD.
FIVESTAR,Five-Star Business Finance Ltd
FLEXFO,FLEX FOODS LTD.-$
FLEXITUFF,Flexituff Ventures International Ltd
FLOMIC,Flomic Global Logistics Ltd
FLORACORP,Flora Corporation Ltd
FLORATX,FLORA TEXTILES LTD.
FLUIDOM,FLUIDOMAT LTD.
FOCUS,Focus Business Solution Ltd
FONE4,Fone4 Communications (India) Ltd
FOODSIN,FOODS & INNS LTD.
FORBESCO,FORBES & COMPANY LTD.-$
FORCEMOT,FORCE MOTORS LTD.-$
FORTIS,FORTIS HEALTHCARE LTD.
FORTISMLR,Fortis Malar Hospitals Limited
FORINTL,FORTUNE INTERNATIONAL LTD.
FOSECOIND,FOSECO INDIA LTD.
FFPL,FOUNDRY FUEL PRODUCTS LTD.
4THGEN,FOURTH GENERATION INFORMATION SYSTEMS LTD.
FRANKLININD,Franklin Industries Ltd
FRANKLIN,Franklin Leasing and Finance Ltd
FRASER,Fraser and Company Ltd
FREDUN,Fredun Pharmaceuticals Ltd
FRSHTRP,FRESHTROP FRUITS LTD.
FRONTCAP,Frontier Capital Ltd
FRONTSP,FRONTIER SPRINGS LTD.
FRONTCORP,FRONTLINE CORPORATION LTD.
FRUTION,Fruition Venture Ltd
NYKAA,FSN E-Commerce Ventures Ltd
FUNDVISER,Fundviser Capital (India) Ltd
FUSION,Fusion Micro Finance Ltd
FCONSUMER,Future Consumer Ltd
FEL,Future Enterprises Ltd
FELDVR,Future Enterprises Ltd_DVR
FLFL,Future Lifestyle Fashions Ltd
FMNL,FUTURE MARKET NETWORKS LTD.
FRETAIL,Future Retail Ltd
